country	year	female_share_senmen_all	female_share_supboard_all	female_share_boards_all	female_share_weight_senmen_all	female_share_weight_supboard_all	female_share_weight_boards_all	zero_share_senmen_all	zero_share_supboard_all	zero_share_boards_all	female_share_senmen_prv	female_share_supboard_prv	female_share_boards_prv	female_share_weight_senmen_prv	female_share_weight_supboard_prv	female_share_weight_boards_prv	zero_share_senmen_prv	zero_share_supboard_prv	zero_share_boards_prv	female_share_senmen_stl	female_share_supboard_stl	female_share_boards_stl	female_share_weight_senmen_stl	female_share_weight_supboard_stl	female_share_weight_boards_stl	zero_share_senmen_stl	zero_share_supboard_stl	zero_share_boards_stl
"TURKEY"	1994	0.4117647		0.24824017	0.3846154		0.24691358	0.47058823529411764		0.43478260869565216	0.4117647		0.24824017	0.3846154		0.24691358	0.47058823529411764		0.43478260869565216									
"UK"	1994	0.060924426	0.20681706	0.06181839	0.057572387	0.19610232	0.057553034	0.917597632006111	0.7736686390532544	0.9130920530385441	0.060988884	0.21398261	0.061895162	0.05764696	0.20410784	0.057642404	0.917551749433866	0.7684049079754601	0.9130985707971121	0.030303031	0.012152778	0.028418804	0.030534351	0.04761905	0.033980582	0.9393939393939394	0.9166666666666666	0.9102564102564102
"AUSTRIA"	1995	0.24502712	0.03809524	0.2112462	0.26818183	0.08	0.23333333	0.6835443037974683	0.9428571428571428	0.723404255319149	0.24976958	0.030303031	0.21447982	0.2718894	0.06521739	0.23574145	0.6774193548387096	0.9696969696969697	0.7228260869565217	0.0	0.16666667	0.0625	0.0	0.25	0.14285715	1.0	0.5	0.75
"BELGIUM"	1995	0.19557172	0.0	0.24430263	0.19927011	0.0	0.2580225	0.7878311206191405	1.0	0.6943615041758622	0.19557172	0.0	0.24433434	0.19927011	0.0	0.2580477	0.7878311206191405	1.0	0.6943218211719899			0.0			0.0			1.0
"BULGARIA"	1995	0.16904762	0.25	0.16295259	0.17475729	0.25	0.16840278	0.7945544554455446	0.75	0.803921568627451	0.16904762	0.25	0.16295259	0.17475729	0.25	0.16840278	0.7945544554455446	0.75	0.803921568627451									
"DENMARK"	1995	0.107353225	0.19148937	0.17242216	0.11298809	0.1875	0.20469067	0.8842699884125145	0.8085106382978723	0.7448477874254629	0.10725499	0.20454545	0.17244563	0.112896524	0.2	0.2047096	0.8843645848427764	0.7954545454545454	0.7447900303696722	0.33333334	0.0	0.15	0.33333334	0.0	0.18181819	0.6666666666666666	1.0	0.8
"FINLAND"	1995	0.09345866	0.0	0.23310754	0.09888143	0.0	0.26666668	0.9023383768913342	1.0	0.5960874568469505	0.09345866	0.0	0.2333761	0.09888143	0.0	0.26688743	0.9023383768913342	1.0	0.5956221198156681			0.0			0.0			1.0
"FRANCE"	1995	0.1983355	0.3211382	0.2025495	0.20394233	0.30769232	0.20970204	0.7913696060037524	0.6341463414634146	0.7827835880933226	0.19838351	0.32478634	0.20265007	0.20404463	0.31914893	0.20981163	0.791382028376248	0.6410256410256411	0.7827232796486091	0.03846154	0.25	0.09686609	0.11764706	0.2	0.17391305	0.75	0.5	0.8461538461538461
"GERMANY"	1995	0.094913185	0.1125	0.094859295	0.10329543	0.15068494	0.10345816	0.8825130415060104	0.825	0.8822864889290556	0.09492395	0.115384616	0.09489145	0.103305385	0.15277778	0.10348782	0.8824997164568448	0.8205128205128205	0.8822465815346366	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
"IRELAND"	1995	0.2669466	0.0625	0.26690188	0.24717422	0.07692308	0.24696645	0.47645429362880887	0.875	0.47638098168949067	0.26749727	0.0	0.26743034	0.2484326	0.0	0.24831907	0.4754780999383097	1.0	0.47555898226676946	0.011904762	0.083333336	0.022108844	0.0121951215	0.125	0.02173913	0.9285714285714286	0.8333333333333334	0.8571428571428571
"ITALY"	1995	0.17708333	0.04888889	0.16137566	0.21052632	0.06	0.15172414	0.75	0.8	0.7142857142857143	0.16666667	0.04888889	0.15860215	0.1875	0.06	0.14788732	0.8	0.8	0.7258064516129032									
"LUXEMBOURG"	1995	0.0		0.0	0.0		0.0	1.0		1.0	0.0		0.0	0.0		0.0	1.0		1.0									
"NORWAY"	1995	0.0		0.0	0.0		0.0	1.0		1.0																		
"POLAND"	1995	0.25		0.25	0.25		0.25	0.75		0.75	0.25		0.25	0.25		0.25	0.75		0.75									
"ROMANIA"	1995	0.25		0.2	0.25		0.2	0.75		0.8	0.25		0.2	0.25		0.2	0.75		0.8									
"SLOVENIA"	1995	0.19512194	0.20967743	0.2	0.18604651	0.19277108	0.19310345	0.8048780487804879	0.6129032258064516	0.7333333333333333	0.19512194	0.21666667	0.20224719	0.18604651	0.19512194	0.19444445	0.8048780487804879	0.6	0.7303370786516854									
"SPAIN"	1995	0.15385236	0.08085317	0.19010876	0.17069368	0.08846154	0.19740811	0.8239845261121856	0.8583333333333333	0.7550253309364275	0.15441415	0.08085317	0.19031452	0.1709804	0.08846154	0.19755715	0.8237585199610516	0.8583333333333333	0.7547942960170464	0.071428575		0.12037037	0.125		0.14814815	0.8571428571428571		0.8333333333333334
"SWEDEN"	1995	0.0		0.0	0.0		0.0	1.0		1.0	0.0		0.0	0.0		0.0	1.0		1.0									
"SWITZERLAND"	1995			0.0			0.0			1.0			0.0			0.0			1.0									
"TURKEY"	1995	0.16666667		0.14065935	0.1590909		0.13913043	0.8055555555555556		0.6153846153846154	0.16666667		0.14065935	0.1590909		0.13913043	0.8055555555555556		0.6153846153846154									
"UK"	1995	0.07064353	0.22717676	0.07186832	0.06714657	0.21502347	0.06713524	0.9068403085092932	0.7544843049327354	0.9021283570207684	0.07074514	0.23393063	0.071980335	0.067256056	0.2232055	0.06727787	0.9067575442774977	0.7491329479768786	0.902085924118351	0.01923077	0.010802469	0.01882716	0.025974026	0.041666668	0.028688524	0.9487179487179487	0.9259259259259259	0.9222222222222223
"AUSTRIA"	1996	0.16998893	0.044326242	0.15631163	0.1861702	0.08571429	0.17040358	0.7906976744186046	0.9148936170212766	0.8017751479289941	0.17227834	0.04074074	0.15815815	0.18867925	0.07692308	0.17201835	0.7878787878787878	0.9333333333333333	0.8018018018018018	0.0	0.125	0.033333335	0.0	0.2	0.1	1.0	0.5	0.8
"BELGIUM"	1996	0.200587	0.0	0.2511598	0.2039204	0.0	0.26403052	0.781311475409836	1.0	0.6813629819228924	0.200587	0.0	0.2511839	0.2039204	0.0	0.26404917	0.781311475409836	1.0	0.6813323947267375			0.0			0.0			1.0
"BULGARIA"	1996	0.2054786	0.25	0.2005125	0.21624589	0.25	0.21119945	0.7373979836773884	0.75	0.7426102773988177	0.2054786	0.25	0.2005125	0.21624589	0.25	0.21119945	0.7373979836773884	0.75	0.7426102773988177									
"CZECH"	1996	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0									
"DENMARK"	1996	0.10716531	0.19409283	0.1691398	0.11283605	0.2	0.19942282	0.8843557673218185	0.7974683544303798	0.7489008651255141	0.10710857	0.20444444	0.16920142	0.11278409	0.20987654	0.19948213	0.8844091360476664	0.7866666666666666	0.7487932992617831	0.25	0.0	0.10714286	0.25	0.0	0.125	0.75	1.0	0.8571428571428571
