freq,reason,sex,age,unit,geo\TIME_PERIOD,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,FAM_CARE,M,Y20-64,PC_POP,EL,,,,,,,,,,,,,0.1,0.1,0.0,,,,
A,FAM_CARE,M,Y20-64,PC_POP,ES,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2
A,FAM_CARE,M,Y20-64,PC_POP,EU27_2020,,0.0,,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
A,FAM_CARE,M,Y20-64,PC_POP,FI,,,,,,,,,,,,,,,,,,,
A,FAM_CARE,M,Y20-64,PC_POP,FR,,,,,,,,,,,,,,0.1,,0.1,0.1,0.1,
A,FAM_CARE,M,Y20-64,PC_POP,HR,,,,,,,,,,,,,,,,,,,
A,FAM_CARE,M,Y20-64,PC_POP,HU,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.2,0.1,0.1,0.1,0.1,,,,
A,FAM_CARE,M,Y20-64,PC_POP,IE,,,,,,,,,,,0.1,0.2,0.4,0.3,,,,,
A,FAM_CARE,M,Y20-64,PC_POP,IS,,,,,,,,,,,,,,,,,,,
A,FAM_CARE,M,Y20-64,PC_POP,IT,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
A,FAM_CARE,M,Y20-64,PC_POP,LT,,,,,,,,,,,,,,,,,,,
A,FAM_CARE,M,Y20-64,PC_POP,LU,,,,,,,,,,,,,,0.3,,,,,
A,FAM_CARE,M,Y20-64,PC_POP,LV,,,,,,,,,,,,,,,,,,,
A,FAM_CARE,M,Y20-64,PC_POP,ME,,,,,,,,,,,,,,,,,,,
A,FAM_CARE,M,Y20-64,PC_POP,MK,0.1,,,,,,,,,,,,,0.1,0.1,0.2,,,
A,FAM_CARE,M,Y20-64,PC_POP,MT,,,,,,,,,,,,,,,,,,,
A,FAM_CARE,M,Y20-64,PC_POP,NL,,,,,,,,,,,,,,,,0.2,0.2,0.1,0.1
A,FAM_CARE,M,Y20-64,PC_POP,NO,,,,,,,,,,,,,,,,,,,
A,FAM_CARE,M,Y20-64,PC_POP,PL,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,,
A,FAM_CARE,M,Y20-64,PC_POP,PT,,,,,,,,,,,,,,,0.2,,,,
A,FAM_CARE,M,Y20-64,PC_POP,RO,,,,,,,,,,,,,,,,,,,
A,FAM_CARE,M,Y20-64,PC_POP,RS,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
A,FAM_CARE,M,Y20-64,PC_POP,SE,,,,,,,,,,,,,,,,,,,
A,FAM_CARE,M,Y20-64,PC_POP,SI,,,,,,,,,,,,,,,,,,,
A,FAM_CARE,M,Y20-64,PC_POP,SK,,,,,0.1,0.1,,0.1,0.2,0.1,0.1,0.2,0.1,0.2,,,,,
A,FAM_CARE,M,Y20-64,PC_POP,TR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1
A,FAM_CARE,M,Y20-64,PC_POP,UK,,,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.2,,,,,
A,FAM_CARE,T,Y20-64,PC_POP,AT,0.8,0.8,0.8,0.8,0.7,0.6,0.6,0.7,0.6,0.6,0.6,0.6,0.4,0.4,0.4,0.6,0.7,0.6,0.6
A,FAM_CARE,T,Y20-64,PC_POP,BA,,,,,,,,,,,,,,,,0.3,0.3,0.3,0.2
A,FAM_CARE,T,Y20-64,PC_POP,BE,0.1,0.1,0.1,0.1,0.1,,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
